,15,15,15,15,17,17,17,17
,fusemix,kpod,singleimput_knn,singleimput_mice,fusemix,kpod,singleimput_knn,singleimput_mice
sh,0.595 ± 0.129,0.574 ± 0.054,0.639 ± 0.011,0.637 ± 0.009,0.4 ± 0.005,0.342 ± 0.061,0.394 ± 0.018,0.402 ± 0.003
ch,884.349 ± 178.059,582.066 ± 209.856,936.667 ± 64.734,914.613 ± 53.336,672.888 ± 65.956,300.245 ± 148.496,804.564 ± 125.741,567.948 ± 37.567
db,0.813 ± 0.11,0.896 ± 0.143,0.784 ± 0.022,0.79 ± 0.017,0.713 ± 0.041,0.575 ± 0.116,0.659 ± 0.075,0.773 ± 0.026
ari,0.754 ± 0.166,0.602 ± 0.181,0.883 ± 0.045,0.877 ± 0.039,0.898 ± 0.023,0.12 ± 0.054,0.811 ± 0.07,0.951 ± 0.024
ami,0.7 ± 0.118,0.548 ± 0.158,0.797 ± 0.065,0.786 ± 0.055,0.819 ± 0.028,0.146 ± 0.053,0.713 ± 0.08,0.903 ± 0.039
vm,0.7 ± 0.117,0.548 ± 0.158,0.798 ± 0.065,0.787 ± 0.055,0.819 ± 0.028,0.148 ± 0.053,0.714 ± 0.08,0.903 ± 0.039
cs,0.683 ± 0.113,0.603 ± 0.13,0.795 ± 0.063,0.79 ± 0.052,0.821 ± 0.03,0.288 ± 0.04,0.723 ± 0.08,0.902 ± 0.04
known_ari,0.817 ± 0.169,0.501 ± 0.16,0.79 ± 0.035,0.764 ± 0.036,0.781 ± 0.028,0.094 ± 0.045,0.73 ± 0.049,0.719 ± 0.018
known_ami,0.743 ± 0.122,0.46 ± 0.124,0.685 ± 0.037,0.661 ± 0.037,0.685 ± 0.037,0.134 ± 0.05,0.643 ± 0.055,0.603 ± 0.021
known_vm,0.744 ± 0.122,0.461 ± 0.123,0.685 ± 0.037,0.661 ± 0.037,0.685 ± 0.037,0.136 ± 0.05,0.643 ± 0.054,0.604 ± 0.021
known_cs,0.738 ± 0.119,0.518 ± 0.099,0.696 ± 0.034,0.677 ± 0.034,0.696 ± 0.041,0.27 ± 0.038,0.662 ± 0.057,0.612 ± 0.022
